user_id,views,clicks,add_to_cart,purchases,total_spend,avg_order_value,last_event_timestamp
user_662,2,2,0,0,0.0,0.0,2026-03-24T02:06:56.060-07:00
user_248,1,0,0,0,0.0,0.0,2026-03-08T06:49:56.060-07:00
user_424,2,1,0,0,0.0,0.0,2026-03-27T08:25:56.060-07:00
user_603,3,0,0,0,0.0,0.0,2026-03-20T08:30:56.060-07:00
user_296,5,2,0,0,0.0,0.0,2026-03-19T23:24:56.060-07:00
user_330,3,1,0,0,0.0,0.0,2026-03-27T07:27:56.060-07:00
user_691,1,2,0,0,0.0,0.0,2026-03-18T02:55:56.060-07:00
user_758,3,0,0,0,0.0,0.0,2026-03-11T23:14:56.060-07:00
user_58,0,1,1,0,0.0,0.0,2026-03-15T08:57:56.060-07:00
user_926,4,0,0,0,0.0,0.0,2026-03-19T22:58:56.060-07:00
user_721,6,0,0,0,0.0,0.0,2026-03-24T12:25:56.060-07:00
user_929,2,1,0,0,0.0,0.0,2026-03-27T21:07:56.060-07:00
user_937,1,1,0,0,0.0,0.0,2026-03-17T14:12:56.060-07:00
user_178,1,1,0,0,0.0,0.0,2026-03-28T17:44:56.060-07:00
user_215,2,0,0,0,0.0,0.0,2026-03-11T06:20:56.060-07:00
user_280,3,1,0,0,0.0,0.0,2026-03-28T09:42:56.060-07:00
user_402,2,0,0,0,0.0,0.0,2026-03-27T04:53:56.060-07:00
user_440,4,0,0,0,0.0,0.0,2026-03-29T20:35:56.060-07:00
user_523,2,0,0,0,0.0,0.0,2026-03-22T02:10:56.060-07:00
user_620,0,1,0,0,0.0,0.0,2026-03-14T19:41:56.060-07:00
user_151,0,2,0,0,0.0,0.0,2026-03-14T15:32:56.060-07:00
user_94,4,0,0,0,0.0,0.0,2026-03-31T03:55:56.060-07:00
user_166,0,0,0,2,560.64,280.32,2026-03-21T20:36:56.060-07:00
user_893,0,3,0,0,0.0,0.0,2026-03-28T08:12:56.060-07:00
user_560,2,3,0,0,0.0,0.0,2026-03-17T08:32:56.060-07:00
user_317,3,1,0,0,0.0,0.0,2026-03-26T20:35:56.060-07:00
user_561,3,2,0,0,0.0,0.0,2026-03-29T22:56:56.060-07:00
user_258,2,1,1,0,0.0,0.0,2026-03-29T19:43:56.060-07:00
user_73,1,0,0,0,0.0,0.0,2026-03-28T23:20:56.060-07:00
user_448,0,1,0,0,0.0,0.0,2026-03-14T15:22:56.060-07:00
user_216,2,1,0,0,0.0,0.0,2026-03-30T09:35:56.060-07:00
user_646,4,0,0,0,0.0,0.0,2026-03-11T02:20:56.060-07:00
user_846,1,0,0,0,0.0,0.0,2026-03-14T00:16:56.060-07:00
user_894,1,1,0,0,0.0,0.0,2026-03-24T21:09:56.060-07:00
user_709,2,0,0,0,0.0,0.0,2026-03-31T16:24:56.060-07:00
user_965,0,1,0,0,0.0,0.0,2026-03-26T20:16:56.060-07:00
user_583,1,0,0,0,0.0,0.0,2026-03-16T08:36:56.060-07:00
user_493,2,2,0,0,0.0,0.0,2026-03-20T00:02:56.060-07:00
user_267,1,0,0,0,0.0,0.0,2026-03-22T01:26:56.060-07:00
user_659,0,0,2,0,0.0,0.0,2026-03-08T06:03:56.060-07:00
user_254,3,0,0,0,0.0,0.0,2026-03-16T16:05:56.060-07:00
user_930,5,1,0,0,0.0,0.0,2026-03-27T23:16:56.060-07:00
user_755,3,0,0,0,0.0,0.0,2026-03-22T08:57:56.060-07:00
user_85,2,0,0,0,0.0,0.0,2026-03-31T06:47:56.060-07:00
user_750,0,0,0,1,480.72,480.72,2026-03-30T20:14:56.060-07:00
user_998,2,0,0,0,0.0,0.0,2026-03-20T09:02:56.060-07:00
user_416,0,2,0,0,0.0,0.0,2026-03-21T13:20:56.060-07:00
user_475,3,0,0,0,0.0,0.0,2026-03-30T05:42:56.060-07:00
user_470,1,0,1,0,0.0,0.0,2026-03-21T04:28:56.060-07:00
user_936,2,1,0,0,0.0,0.0,2026-03-21T22:43:56.060-07:00
user_286,2,2,0,0,0.0,0.0,2026-03-28T05:36:56.060-07:00
user_818,1,1,0,0,0.0,0.0,2026-03-28T22:05:56.060-07:00
user_14,0,1,0,0,0.0,0.0,2026-03-25T07:58:56.060-07:00
user_411,1,2,0,0,0.0,0.0,2026-03-31T14:43:56.060-07:00
user_827,2,2,0,0,0.0,0.0,2026-03-10T09:58:56.060-07:00
user_973,3,1,0,0,0.0,0.0,2026-03-26T08:02:56.060-07:00
user_333,5,0,0,2,523.8299999999999,261.91499999999996,2026-03-29T21:09:56.060-07:00
user_975,2,0,0,0,0.0,0.0,2026-03-30T07:53:56.060-07:00
user_437,4,0,1,0,0.0,0.0,2026-03-29T19:20:56.060-07:00
user_316,1,0,0,0,0.0,0.0,2026-03-18T02:49:56.060-07:00
