user_id,views,clicks,add_to_cart,purchases,total_spend,avg_order_value,last_event_timestamp
user_31,1,0,0,0,0.0,0.0,2026-03-11T16:48:56.060-07:00
user_575,1,0,0,0,0.0,0.0,2026-03-31T07:50:56.060-07:00
user_388,0,0,0,1,153.66,153.66,2026-03-26T20:58:56.060-07:00
user_390,1,0,1,0,0.0,0.0,2026-03-22T09:14:56.060-07:00
user_45,1,0,0,0,0.0,0.0,2026-03-22T15:48:56.060-07:00
user_234,1,0,0,0,0.0,0.0,2026-03-14T22:05:56.060-07:00
user_371,0,0,1,0,0.0,0.0,2026-03-10T12:01:56.060-07:00
user_460,1,0,0,0,0.0,0.0,2026-03-14T09:51:56.060-07:00
user_105,1,0,0,0,0.0,0.0,2026-03-26T13:41:56.060-07:00
user_26,1,0,0,0,0.0,0.0,2026-03-14T06:24:56.060-07:00
user_349,0,1,0,0,0.0,0.0,2026-03-08T19:49:56.060-07:00
