user_id,views,clicks,add_to_cart,purchases,total_spend,avg_order_value,last_event_timestamp
user_94,1,0,0,0,0.0,0.0,2026-03-03T21:27:56.060-08:00
user_659,0,0,1,0,0.0,0.0,2026-03-08T06:03:56.060-07:00
user_254,1,0,0,0,0.0,0.0,2026-03-04T15:56:56.060-08:00
user_411,0,1,0,0,0.0,0.0,2026-03-04T18:17:56.060-08:00
user_827,0,1,0,0,0.0,0.0,2026-03-10T09:58:56.060-07:00
user_958,1,0,0,0,0.0,0.0,2026-03-27T23:22:56.060-07:00
user_157,1,0,0,0,0.0,0.0,2026-03-09T02:27:56.060-07:00
user_363,0,1,0,0,0.0,0.0,2026-03-20T11:01:56.060-07:00
user_575,1,0,0,0,0.0,0.0,2026-03-13T16:59:56.060-07:00
user_563,1,0,0,0,0.0,0.0,2026-03-13T19:30:56.060-07:00
user_970,0,0,1,0,0.0,0.0,2026-03-05T15:33:56.060-08:00
user_236,1,0,0,0,0.0,0.0,2026-03-11T18:32:56.060-07:00
user_323,0,0,1,0,0.0,0.0,2026-03-31T13:54:56.060-07:00
user_788,0,1,0,0,0.0,0.0,2026-03-17T05:33:56.060-07:00
user_614,0,0,1,0,0.0,0.0,2026-03-23T23:41:56.060-07:00
user_670,1,0,0,0,0.0,0.0,2026-03-06T05:29:56.060-08:00
user_702,1,0,0,0,0.0,0.0,2026-03-04T07:05:56.060-08:00
user_812,1,0,0,0,0.0,0.0,2026-03-20T23:06:56.060-07:00
user_12,0,0,1,0,0.0,0.0,2026-03-06T23:07:56.060-08:00
user_598,1,0,0,0,0.0,0.0,2026-03-18T05:23:56.060-07:00
user_900,0,0,1,0,0.0,0.0,2026-03-12T15:32:56.060-07:00
user_611,1,0,0,0,0.0,0.0,2026-03-25T19:56:56.060-07:00
user_779,0,1,0,0,0.0,0.0,2026-03-07T11:21:56.060-08:00
user_688,1,0,0,0,0.0,0.0,2026-03-18T17:52:56.060-07:00
user_364,1,0,0,0,0.0,0.0,2026-03-13T21:36:56.060-07:00
user_109,1,0,0,0,0.0,0.0,2026-03-15T07:58:56.060-07:00
user_465,1,0,0,0,0.0,0.0,2026-03-13T17:41:56.060-07:00
user_217,1,0,0,0,0.0,0.0,2026-03-10T21:42:56.060-07:00
user_624,1,0,0,0,0.0,0.0,2026-03-09T12:55:56.060-07:00
user_244,1,0,0,0,0.0,0.0,2026-03-23T20:12:56.060-07:00
user_61,0,1,0,0,0.0,0.0,2026-03-04T19:37:56.060-08:00
user_474,1,0,0,0,0.0,0.0,2026-03-14T00:51:56.060-07:00
