user_id,views,clicks,add_to_cart,purchases,total_spend,avg_order_value,last_event_timestamp
user_560,0,1,0,0,0.0,0.0,2026-03-11T18:53:56.060-07:00
user_498,1,0,0,0,0.0,0.0,2026-03-19T10:44:56.060-07:00
user_994,1,0,0,0,0.0,0.0,2026-03-09T21:02:56.060-07:00
user_415,0,1,0,0,0.0,0.0,2026-03-09T06:16:56.060-07:00
user_714,1,0,0,0,0.0,0.0,2026-03-24T05:59:56.060-07:00
user_705,1,0,0,0,0.0,0.0,2026-03-06T14:25:56.060-08:00
user_784,0,0,1,0,0.0,0.0,2026-03-19T01:28:56.060-07:00
user_451,1,0,0,0,0.0,0.0,2026-03-14T18:05:56.060-07:00
user_204,1,0,0,0,0.0,0.0,2026-03-02T20:40:56.060-08:00
user_626,0,0,0,1,233.15,233.15,2026-03-05T01:32:56.060-08:00
user_573,0,1,0,0,0.0,0.0,2026-03-16T04:34:56.060-07:00
user_726,1,0,0,0,0.0,0.0,2026-03-01T19:50:56.060-08:00
user_399,0,1,0,0,0.0,0.0,2026-03-28T07:58:56.060-07:00
user_711,1,0,0,0,0.0,0.0,2026-03-11T11:41:56.060-07:00
user_336,1,0,0,0,0.0,0.0,2026-03-22T10:39:56.060-07:00
user_915,1,0,0,0,0.0,0.0,2026-03-05T10:00:56.060-08:00
user_524,1,0,0,0,0.0,0.0,2026-03-19T06:44:56.060-07:00
user_562,1,0,0,0,0.0,0.0,2026-03-15T13:54:56.060-07:00
user_556,1,0,0,0,0.0,0.0,2026-03-20T16:08:56.060-07:00
user_413,1,0,0,0,0.0,0.0,2026-03-15T04:56:56.060-07:00
user_981,1,0,0,0,0.0,0.0,2026-03-25T07:44:56.060-07:00
user_611,1,0,0,0,0.0,0.0,2026-03-17T11:34:56.060-07:00
user_762,0,0,1,0,0.0,0.0,2026-03-22T05:35:56.060-07:00
user_768,1,0,0,0,0.0,0.0,2026-03-04T02:53:56.060-08:00
user_96,1,0,0,0,0.0,0.0,2026-03-12T10:32:56.060-07:00
user_738,0,1,0,0,0.0,0.0,2026-03-24T19:54:56.060-07:00
user_914,0,1,0,0,0.0,0.0,2026-03-21T04:06:56.060-07:00
user_692,1,0,0,0,0.0,0.0,2026-03-25T00:20:56.060-07:00
user_547,0,0,0,1,300.03,300.03,2026-03-19T16:22:56.060-07:00
user_87,1,0,0,0,0.0,0.0,2026-03-25T05:00:56.060-07:00
user_284,0,1,0,0,0.0,0.0,2026-03-25T11:23:56.060-07:00
user_389,0,1,0,0,0.0,0.0,2026-03-20T22:27:56.060-07:00
user_963,0,1,0,0,0.0,0.0,2026-03-10T17:12:56.060-07:00
user_594,1,0,0,0,0.0,0.0,2026-03-31T13:06:56.060-07:00
user_940,1,0,0,0,0.0,0.0,2026-03-22T12:34:56.060-07:00
user_306,0,0,1,0,0.0,0.0,2026-03-19T11:58:56.060-07:00
user_681,2,0,0,0,0.0,0.0,2026-03-30T02:39:56.060-07:00
user_439,1,0,0,0,0.0,0.0,2026-03-22T18:17:56.060-07:00
