user_id,views,clicks,add_to_cart,purchases,total_spend,avg_order_value,last_event_timestamp
user_662,0,1,0,0,0.0,0.0,2026-03-24T02:06:56.060-07:00
user_378,1,0,0,0,0.0,0.0,2026-03-29T07:47:56.060-07:00
user_56,1,0,0,0,0.0,0.0,2026-03-15T01:05:56.060-07:00
user_771,1,0,0,0,0.0,0.0,2026-03-06T10:03:56.060-08:00
user_797,0,1,0,0,0.0,0.0,2026-03-15T21:44:56.060-07:00
user_21,1,0,0,0,0.0,0.0,2026-03-08T16:26:56.060-07:00
user_800,0,1,0,0,0.0,0.0,2026-03-03T13:58:56.060-08:00
user_390,0,1,0,0,0.0,0.0,2026-03-21T21:34:56.060-07:00
user_356,0,1,0,0,0.0,0.0,2026-03-21T05:54:56.060-07:00
user_309,0,1,0,0,0.0,0.0,2026-03-29T01:48:56.060-07:00
user_103,1,0,0,0,0.0,0.0,2026-03-15T05:34:56.060-07:00
user_607,1,1,0,0,0.0,0.0,2026-03-30T07:06:56.060-07:00
user_883,1,0,0,0,0.0,0.0,2026-03-06T22:36:56.060-08:00
user_462,2,0,0,0,0.0,0.0,2026-03-28T18:36:56.060-07:00
user_427,1,0,0,0,0.0,0.0,2026-03-28T21:07:56.060-07:00
user_213,0,0,1,0,0.0,0.0,2026-03-11T08:29:56.060-07:00
user_320,1,0,0,0,0.0,0.0,2026-03-18T19:56:56.060-07:00
user_181,1,0,0,0,0.0,0.0,2026-03-25T11:53:56.060-07:00
user_942,1,0,0,0,0.0,0.0,2026-03-23T18:06:56.060-07:00
user_974,0,1,0,0,0.0,0.0,2026-03-10T04:13:56.060-07:00
user_118,1,0,0,0,0.0,0.0,2026-03-11T16:04:56.060-07:00
user_564,0,0,0,1,354.4,354.4,2026-03-17T18:16:56.060-07:00
user_246,1,0,0,0,0.0,0.0,2026-03-26T20:55:56.060-07:00
user_972,0,1,0,0,0.0,0.0,2026-03-05T15:02:56.060-08:00
user_283,0,1,0,0,0.0,0.0,2026-03-02T05:05:56.060-08:00
user_15,1,0,0,0,0.0,0.0,2026-03-26T01:25:56.060-07:00
user_738,1,0,0,0,0.0,0.0,2026-03-23T23:39:56.060-07:00
user_984,1,0,0,0,0.0,0.0,2026-03-30T16:13:56.060-07:00
user_227,1,0,0,0,0.0,0.0,2026-03-12T19:45:56.060-07:00
user_591,1,0,0,0,0.0,0.0,2026-03-04T04:33:56.060-08:00
user_364,1,0,0,0,0.0,0.0,2026-03-17T05:44:56.060-07:00
user_485,1,0,0,0,0.0,0.0,2026-03-25T21:54:56.060-07:00
user_284,0,1,0,0,0.0,0.0,2026-03-28T13:59:56.060-07:00
user_313,0,0,0,1,39.51,39.51,2026-03-30T00:19:56.060-07:00
user_124,1,0,0,0,0.0,0.0,2026-03-10T12:21:56.060-07:00
user_345,0,1,0,0,0.0,0.0,2026-03-24T05:54:56.060-07:00
user_491,1,0,0,0,0.0,0.0,2026-03-17T06:08:56.060-07:00
user_664,1,0,0,0,0.0,0.0,2026-03-02T07:49:56.060-08:00
